,cityname,imagename,label
7,New York City 25pct,nycgov_39907559_497318770736113_4802403843637772288_n_50pct_25pct.jpg,Thoroughfare
66,New York City 25pct,nycgov_11356012_103446110006574_1163990380_n_50pct_25pct.jpg,Storage tank
95,New York City 25pct,nycgov_38741496_1067092166790258_4468266322995707904_n_50pct_25pct.jpg,Runway
126,New York City 25pct,nycgov_11333362_858614804230597_368839218_n_50pct_25pct.jpg,Ford crown victoria
161,New York City 25pct,nycgov_1388877_550307275044828_2068869587_n_50pct_25pct.jpg,Chapel
166,New York City 25pct,nycgov_1388877_550307275044828_2068869587_n_50pct_25pct.jpg,Synagogue
172,New York City 25pct,nycgov_11375818_533148930171377_1207623167_n_50pct_25pct.jpg,Basilica
173,New York City 25pct,nycgov_11375818_533148930171377_1207623167_n_50pct_25pct.jpg,Historic site
323,New York City 25pct,nycgov_11201688_352699208270406_1157723981_n_50pct_25pct.jpg,Music
356,New York City 25pct,nycgov_12677349_979144608824516_1778674679_n_50pct_25pct.jpg,Soil
375,New York City 25pct,nycgov_11881824_751469091647822_1664448597_n_50pct_25pct.jpg,Inventory
415,New York City 25pct,nycgov_1516617_560043200748156_605210853_n_50pct_25pct.jpg,Tram
438,New York City 25pct,nycgov_12331827_940662282693156_1314626678_n_50pct_25pct.jpg,Colorado spruce
463,New York City 25pct,nycgov_12132742_719674471465511_1226731548_n_50pct_25pct.jpg,Groundcover
497,New York City 25pct,nycgov_10268908_235389003461392_872739556_n_50pct_25pct.jpg,Cantilever bridge
498,New York City 25pct,nycgov_10268908_235389003461392_872739556_n_50pct_25pct.jpg,Girder bridge
515,New York City 25pct,nycgov_11326564_111648099171154_577244986_n_50pct_25pct.jpg,Beam
606,New York City 25pct,nycgov_39972731_2146287332360073_2431020986401816576_n_50pct_25pct.jpg,Motor ship
624,New York City 25pct,nycgov_12298879_1663597307231333_328614013_n_50pct_25pct.jpg,Door
651,New York City 25pct,nycgov_10954736_120201238320975_1129969526_n_50pct_25pct.jpg,Subway
655,New York City 25pct,nycgov_10954736_120201238320975_1129969526_n_50pct_25pct.jpg,Metro station
659,New York City 25pct,nycgov_12543267_1696555167234898_61698594_n_50pct_25pct.jpg,Brown
663,New York City 25pct,nycgov_12543267_1696555167234898_61698594_n_50pct_25pct.jpg,Soil
694,New York City 25pct,nycgov_12063034_1529994687320295_637484216_n_50pct_25pct.jpg,Domestic short-haired cat
695,New York City 25pct,nycgov_12063034_1529994687320295_637484216_n_50pct_25pct.jpg,Rusty-spotted cat
713,New York City 25pct,nycgov_12301191_1659102041033254_2102026151_n_50pct_25pct.jpg,Pipe
753,New York City 25pct,nycgov_51861606_311687092834802_2786066581521062304_n_50pct_25pct.jpg,Cinco de mayo
779,New York City 25pct,nycgov_12080549_530157187142788_1974681274_n_50pct_25pct.jpg,Historic site
780,New York City 25pct,nycgov_12080549_530157187142788_1974681274_n_50pct_25pct.jpg,Ancient roman architecture
824,New York City 25pct,nycgov_43915376_2324741621079533_7464355920079701669_n_50pct_25pct.jpg,Rural area
852,New York City 25pct,nycgov_11917796_476361735859254_799116040_n_50pct_25pct.jpg,Sparrow
853,New York City 25pct,nycgov_11917796_476361735859254_799116040_n_50pct_25pct.jpg,Perching bird
869,New York City 25pct,nycgov_12523718_601869083301161_1428542190_n_50pct_25pct.jpg,Brown hair
878,New York City 25pct,nycgov_50589216_377600449703454_171461319083758517_n_50pct_25pct.jpg,Performance art
925,New York City 25pct,nycgov_12393582_1530971433883212_1395265422_n_50pct_25pct.jpg,Electric blue
965,New York City 25pct,nycgov_10950474_469071543274527_443861202_n_50pct_25pct.jpg,Uniform
1010,New York City 25pct,nycgov_11311395_1604861633093877_1148088863_n_50pct_25pct.jpg,Goldfish
1012,New York City 25pct,nycgov_11311395_1604861633093877_1148088863_n_50pct_25pct.jpg,Marine biology
1013,New York City 25pct,nycgov_11311395_1604861633093877_1148088863_n_50pct_25pct.jpg,Feeder fish
1014,New York City 25pct,nycgov_11311395_1604861633093877_1148088863_n_50pct_25pct.jpg,Koi
1023,New York City 25pct,nycgov_11330669_395750333967677_191108494_n_50pct_25pct.jpg,Pipe
1025,New York City 25pct,nycgov_11330669_395750333967677_191108494_n_50pct_25pct.jpg,Automotive tire
1061,New York City 25pct,nycgov_12912451_1578995955746880_2026510499_n_50pct_25pct.jpg,Courtyard
